"Control code","Control name","Control description","Control question","Control activities","Control owners","Control approvers","Required approvals stage","Is ready","Scope","NIST SP 800-53"
"DCF-445","Critical Security Control System Failure Response","Failures of any critical security controls systems are addressed promptly based on the nature of the failure and monitoring of security controls is resumed. Documentation is maintained to include identification of the issue, start time and end time, root cause and required remediation, identification of any security issues that arose during the failure along with associated response, identification of follow-up actions are required as a result of the security failure, and implemented controls to prevent the cause of failure from reoccurring.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-05-00, SI-02-02"
"DCF-297","Critical Security Updates Installed Timely","Montage Marketing Group has implemented a formal patch management process where critical or high-security patches/updates (as identified per the entity's vulnerability risk analysis) are installed within one month of release.  All other applicable security patches/updates are installed within the timeframe established by the entity per the risk analysis and company policies and procedures.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","SI-02-00, SI-02-02"
"DCF-266","Cryptographic Keys Stored Securely","Montage Marketing Group stores cryptographic keys securely.","Are cryptographic keys stored securely (for example, stored on removable media that is adequately protected with strong access controls)?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SC-13-00"
"DCF-53","Cryptography Policies","Montage Marketing Group has an established policy and procedures that governs the use of cryptographic controls.","Does the organization facilitate the implementation of cryptographic protections controls using known public standards and trusted cryptographic technologies?",,"Jon Brown",,"No approvals assigned","Ready","In scope","IA-07-00, SC-13-00, CP-09-08"
"DCF-1","Customer Data Policies","Montage Marketing Group Management has approved all policies that detail how customer data may be made accessible and should be handled. These policies are accessible to all employees and contractors.","Does the organization maintain policies that detail how customer data may be made accessible and should be handled?","Maintain policies detailing how customer data is handled.
Ensure policies are accessible to all employees.","Jon Brown",,"No approvals assigned","Not ready","In scope","AC-17-03"
"DCF-141","Customer Inquiries Tracked","Montage Marketing Group has a process for tracking users' inquiries, complaints, and disputes within the incident tracking system.","Does the organization have a process for tracking users' inquiries, complaints, and disputes?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","PM-26-00"
"DCF-140","Customer Portal","Data subjects can submit inquiries, complaints, and disputes via the customer portal.","Does the organization provide a portal for data subjects to submit inquiries, complaints, and disputes?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","PM-26-00"
"DCF-74","Customers Informed of Changes","Montage Marketing Group communicates system changes to customers that may affect security, availability, processing integrity, or confidentiality.","Does the organization effectively communicate changes to the system that may affect security, confidentiality, availability, or processing integrity?",,,,"No approvals assigned","Not ready","Out of scope",
"DCF-98","Daily Backup Statuses Monitored","Montage Marketing Group monitors the status of backups on a daily basis and action is taken when the backup process fails.","Does the organization monitor the status of its backups and take action when the backup process fails?",,"Jon Brown",,"No approvals assigned","Ready","In scope","CP-09-01, CP-09-08"
"DCF-77","Daily Database Backups","Backups of production data are performed least daily and are retained per company policies and procedures.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","IR-07-00, CP-06-00, CP-06-01, CP-09-00, CP-09-01, CP-10-00, CP-10-02"
"DCF-102","Data Classification","Montage Marketing Group has established a data classification policy in order to identify the types of confidential information possessed by the entity and types of protection that are required.","Does the organization have controls in place to identify and classify the different types of data it processes?",,"Jon Brown","Jon Brown","Approved","Ready","In scope","AC-01-00, AC-02-00, AC-05-00, IA-02-01, IA-02-02, IA-02-08, IA-03-00, IA-04-00, IA-04-04, IA-05-00, IA-05-01, IA-05-02, IA-07-00, CM-08-00, PM-11-00, PM-17-00, RA-02-00, RA-09-00"
"DCF-186","Data De-identification","Montage Marketing Group has a defined process for the de-identification of data that has been classified as sensitive.","Does the organization have a process for data de-identification?","1. Determine types of data that require de-identification in accordance with the organization's Data Protection and Data Classification Policies
2. Define authorized techniques for de-identification (e.g. remove, mask, encrypt, hash, anonymize, or replace direct identifiers in a dataset)
3. Review logs of pseudonymized or anonymized data to verify appropriate de-identification","Jon Brown",,"No approvals assigned","Not ready","In scope","SI-19-00"
"DCF-123","Data Destruction Policy","Montage Marketing Group implements policies and procedures to erase or otherwise destroy personal information that has been identified for destruction.","Does the organization have policies or procedures in place to erase personal information identified for destruction?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SI-12-03, SR-12-00"
"DCF-137","Data Entry Field Completion Automated","As personal information is collected, automated edit checks are in place to ensure that data entry fields are completed properly.","Does the organization ensure data entry fields are completed properly when personal information is being collected?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SI-18-00, SI-18-04, SI-10-00"
"DCF-624","Data Integrity Board","Montage Marketing Group has established a Data Integrity Board.","Does the organization have a Data Integrity Board?","1. Establish a Data Integrity Board.
2. The board must review proposals to conduct or participate in a matching program.
3. The board must conduct an annual review of all matching programs in which the company has participated.","Jon Brown",,"No approvals assigned","Not ready","In scope","PM-24-00"
"DCF-537","Data Processing Agreements in Place","Montage Marketing Group has data processing agreements in place with data processing ecosystem parties which include minimum technical and organizational measures designed to meet the objectives of Montage Marketing Group’s privacy program.","Does the organization have data processing agreements in place?","1. Ensure that data processing agreements set out the subject-matter, nature, purpose, and duration of the processing, the type of personal data and categories of data subjects and the obligations and rights of the controller
2. Ensure the agreements are in writing (to include electronic form)","Jon Brown",,"No approvals assigned","Not ready","In scope","SC-07-24"
"DCF-538","Data Protection Impact Assessment (DPIA)","Montage Marketing Group conducts a data protection impact assessment when required or when planning for the processing of new, or changing the processing of existing, PII.","Does the organization conduct data protection impact assessments when required or when planning for PII processing?","1. The DPIA will include: (a) a description and purpose of the processing operations; (b) necessity/proportionality of the processing operations to its purpose; (c) potential risks to data subject rights; (d) protective measures and safeguards for the processing operations
2. A DPIA is required for: (a) evaluations and legal effects based on automated processing (e.g., profiling); (b) large-scale data of protected classes or personal data relating to criminal offences; (c) large-scale systematic monitoring of a publicly accessible area","Jon Brown",,"No approvals assigned","Not ready","In scope","RA-08-00"
"DCF-45","Data Protection Policy","Montage Marketing Group has established a Data Protection Policy and requires all employees to acknowledge it upon hire. Management monitors employees' acceptance of the policy.","Does the organization facilitate the implementation of data protection controls?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-01-00, SC-07-24, AC-04-00, AU-03-00, AU-04-00, IA-03-00, IA-05-06, IA-08-04, IA-12-03, SC-01-00, SC-08-00, MP-01-00, CM-12-01, CA-01-00, CA-02-00, PM-11-00, PM-22-00, PM-31-00"
"DCF-101","Data Retention Policy","Montage Marketing Group has a documented policy for data retention defining the types of data (including company and customer data) and the period of time for which they should be retained.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","SI-12-00, PM-22-00"
"DCF-529","Data Subject Consent","Montage Marketing Group has established a process to obtain consent from a data subject prior to collecting PII.","Does the organization have a process to obtain consent from data subjects prior to collecting PII?","1. Establish a process for obtaining, logging and documenting individual consent, and retain evidence of data subject consent
2. Ensure that consent is clearly distinguishable
3. Subject must be 16 or older for consent; if below 16, consent must be from a legal guardian","Jon Brown",,"No approvals assigned","Not ready","In scope","PT-04-00"
"DCF-81","Databases Monitored and Alarmed","Montage Marketing Group has implemented tools to monitor Montage Marketing Group's databases and notify appropriate personnel of any events or incidents based on predetermined criteria. Incidents are escalated per policy.","Does the organization implement tools to monitor its databases and notify appropriate personnel of incidents based on predetermined criteria?","1. Ensure tools are implemented to monitor databases
2. Ensure notifications based on specific criteria are sent to the appropriate personnel
3. Escalate incidents appropriately","Jon Brown",,"No approvals assigned","Not ready","In scope","IR-07-00, IR-08-00, SI-04-04, SI-04-05"
"DCF-204","Dataflow Diagram","A data-flow diagram is maintained to show all account data flows across systems and networks. The diagram is reviewed and updated annually or as needed upon changes to the environment.",,,"Jon Brown","Jon Brown","Approved","Not ready","In scope","AC-04-00"
"DCF-42","Defined Roles and Responsibilities","Management has established and documented roles and responsibilities for information security for personnel, including responsibilities for implementation of the information security program and oversight activities.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-06-02, PS-09-00"
"DCF-73","Denial of Public SSH","No public SSH is allowed.","Does the organization deny public SSH?",,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-17-02"
"DCF-559","Deny-by-Exception Rule for Unauthorized Applications","Montage Marketing Group has an allow-all, deny-by-exception rule in place for unauthorized software applications and implements procedures to deny execution.","Does the organization implement a deny-by-exception rule for unauthorized applications?","1. Develop and maintain a list of unauthorized applications (e.g. blocklists)
2. Implement a deny-by-exception rule
3. Review and update list on regular intervals","Jon Brown",,"No approvals assigned","Not ready","In scope","CM-07-00, CM-07-02, CM-11-00"
"DCF-527","Designated Data Protection Officer","Montage Marketing Group has formally assigned an independent and capable member to manage privacy-related matters.","Has the organization formally assigned an independent and capable member to manage privacy-related matters?","1. Ensure that the data protection officer is independent, when possible, and an expert in data protection laws and regulations
2. May be a member of the workforce or outsourced
3. Point of contact for customers regarding the processing of privacy information
4. Involved in the management of all privacy-related issues to include: (a) monitoring compliance with appropriate standards and regulations; (b) provide advice regarding data protection, its impact, and its monitoring
5. DPO will be liaison to supervisory authorities; contact information of DPO must be communicated to the supervisory authorities","Jon Brown",,"No approvals assigned","Not ready","In scope","PM-19-00, PM-22-00"
"DCF-190","Designated Security Officials","Montage Marketing Group has identified and assigned members to appropriate information security roles","Does the organization identify security officials responsible for the development and implementation of policies and procedures required by security standards?","1. Designate proper personnel to appropriate security roles
2. Document and keep a record of such designation","Jon Brown",,"No approvals assigned","Ready","In scope","CM-03-04, CA-06-00"
"DCF-606","Device Identification and Authentication","Montage Marketing Group identifies and authenticates devices prior to establishing a connection.","Does the organization require unique device identification and authentication prior to establishing a connection?","1. Define devices or types of devices that need to be uniquely identified.
2. Authenticate the devices prior to establishing a local, remote, or network connection.","Jon Brown",,"No approvals assigned","Not ready","In scope","IA-03-00"
"DCF-580","Disabling High Risk User Accounts ","Montage Marketing Group has a process for disabling system accounts for users who pose a significant security and/or privacy risk.","Does the organization have a process for disabling system accounts for high risk users?","1. Define significant risks that trigger the disabling of accounts.
2. Establish duration and time period to disable an account.","Jon Brown",,"No approvals assigned","Ready","In scope","AC-02-13"
"DCF-25","Disaster Recovery Plan","Montage Marketing Group has an established Disaster Recovery Plan that outlines roles and responsibilities and detailed procedures for recovery of systems.","Does the organization facilitate the implementation of contingency planning controls?",,"Jon Brown",,"No approvals assigned","Ready","In scope","IR-07-00, IR-08-00, CP-01-00, CP-02-00, CP-02-01, CP-02-03, CP-04-00, CP-04-01, CP-06-00, CP-06-01, CP-06-03, CP-07-00, CP-07-01, CP-07-02, CP-07-03, CP-08-00, CP-08-01, CP-08-02, CP-09-08, CP-10-00, CP-10-02, IR-07-01"
"DCF-109","Disposal of Sensitive Data on Hardware","Montage Marketing Group has formal policies and procedures in place to guide personnel in the disposal of hardware containing sensitive data.","Does the organization have controls in place to guide personnel in the disposal of hardware containing sensitive data?","1. Formal, documented hard disk drive destruction process
2. Employee termination checklist includes properly destroying hard disks","Jon Brown",,"No approvals assigned","Not ready","In scope","SR-12-00"
"DCF-107","Disposal of Sensitive Data on Paper","Montage Marketing Group disposes of hardcopy material with sensitive data when no longer needed (for legal or business reasons, or upon expiration of their retention period) through secure means such as cross-cut shredding, incinerating, or pulping, so that the data cannot be reconstructed.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","SR-12-00"
"DCF-328","Documented Approval by Authorized Parties","Montage Marketing Group requires documented approval by authorized parties specifying required privileges.","Is documented approval by authorized parties required, specifying required privileges?",,"Jon Brown","Jon Brown","Needs approval","Not ready","In scope","AC-06-01, AC-06-02"
"DCF-171","Documented Operating Procedures","Montage Marketing Group maintains documented procedures that describe how to perform activities including controls, methods, and processes to be followed to achieve the company's policies objectives and compliance activities. The procedures are reviewed and updated as needed to address changes in processes, technologies, and business objectives, or at least annually, and are available to all relevant parties.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","CP-08-00, CP-08-01, CP-08-02, CP-09-00, CP-09-08, CP-10-00, CP-10-02"
"DCF-9","Employee Disclosure Process","Montage Marketing Group provides a process to employees for reporting security, confidentiality, integrity, and availability features, incidents, and concerns, and other complaints to company management.","Does the organization establish a Vulnerability Disclosure Program (VDP) to assist with the secure development and maintenance of products and services that receives unsolicited input from the public about vulnerabilities in organizational systems, services and processes?","Make the company's responsible disclosure policy available to employees.","Jon Brown",,"No approvals assigned","Not ready","In scope","RA-05-11"
"DCF-490","Employee Remote-Access Usage","Montage Marketing Group prohibits, for personnel accessing cardholder data via remote-access technologies, the copying, moving, and storage of cardholder data onto local hard drives and removable electronic media, unless explicitly authorized for a defined business need. Where there is an authorized business need, the usage policies must require the data be protected in accordance with all applicable PCI DSS Requirements.","For personnel accessing cardholder data via remote-access technologies, does the policy specify the prohibition of copying, moving, and storage of cardholder data onto local hard drives and removable electronic media, unless explicitly authorized for a defined business need? 
Where there is an authorized business need, the usage policies must require the data be protected in accordance with all applicable PCI DSS Requirements.",,"Jon Brown","Jon Brown","Approved","Not ready","In scope","AC-17-00"
"DCF-247","Enabled Functions Documented","Montage Marketing Group's enabled functions are documented and support secure configuration.","Are enabled functions documented and do they support secure configuration?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","CM-06-00"
"DCF-581","Encrypted Information Flow Control","Montage Marketing Group has procedures to prevent flow of encrypted information through flow control tools.","Are flow control mechanisms implemented?","1. Identify flow control tools used.
2. Define procedures to prevent flow control bypass.",,,"No approvals assigned","Ready","Out of scope",
"DCF-92","Encrypted Remote Production Access","Users can only access the production system remotely through the use of encrypted communication systems.","Does the organization enforce encrypted communication systems to access production systems remotely?","Enforce use of encrypted communications to access the production system remotely.","Jon Brown",,"No approvals assigned","Not ready","In scope","AC-17-00, AC-17-01, AC-17-02, AC-17-03, AC-18-00, AC-18-01, SC-07-07"
"DCF-54","Encryption at Rest","Data at rest is encrypted using strong cryptographic algorithms.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","SC-28-00, SC-28-01"
"DCF-55","Encryption of Data In Transit","Data in transit is encrypted using strong cryptographic algorithms.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-04-00, AC-17-02, AC-18-00"
"DCF-181","Encryption Policy","Montage Marketing Group has a defined policy that establishes requirements for the use of cryptographic controls.","Does the organization have policis and procedures for the use of cyptographic?","1. Plan and implement use of cryptographic algorithms and keys in order to protect the confidentiality, integrity, authenticity, and nonrepudiation of information 
2. Adopt a standard approach to cryptographic controls across all work centers to ensure end-to-end security and to promote interoperability
3. Outline a process for key management","Jon Brown",,"No approvals assigned","Ready","In scope","AC-19-05, IA-02-01, IA-02-02, IA-02-08, IA-03-00, IA-04-00, IA-04-04, IA-05-00, IA-05-01, IA-05-02, IA-07-00, SC-08-01, SC-12-00, CP-09-08"
"DCF-363","Entry Controls in Place","Entry controls (e.g., badge access systems, etc.) are in place at Montage Marketing Group's locations to restrict physical access to corporate facilities, including systems or areas that may process or store sensitive data, to authorized personnel, and to monitor such access.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","PE-03-00"
"DCF-177","Event Logging","Montage Marketing Group has a defined plan for event logging that establishes the required criteria for logs, protection of logged information, clock synchronization.","Does the organization have an event logging plan in place?","1. Develop and maintain event logs with defined required criteria, such as user IDs, system activities, and use of privileges
2. Implement protection measures against unauthorized changes to log information
3. Review logs for accountability for the privileged users
4. Define the internal and external requirements for time representation, synchornization, and accuracy","Jon Brown",,"No approvals assigned","Not ready","In scope","AU-01-00, AU-02-00, AC-02-04, AC-06-09, AC-17-01, AU-03-00, AU-03-01, AU-04-00, AU-05-00, AU-06-00, AU-06-01, AU-07-01, AU-08-00, AU-12-00, CM-04-02, CP-10-00, CP-10-02, SI-04-02"
"DCF-8","External Communication Channels","Montage Marketing Group provides a communication feature or support portal to customers to report complaints, failures, bugs, incidents, vulnerabilities, requests for information, etc. Customer support tickets are responded by the support team within defined SLAs.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","IR-07-00, IR-08-00, IR-07-01, RA-05-11"
"DCF-465","External Penetration Testing Requirements","Montage Marketing Group conducts external penetration tests at least once every 12 months or after any significant infrastructure or application upgrade or change per the company's defined methodology. Testing is performed by a qualified internal resource or qualified external third party and organizational independence of the tester is maintained.",,,,,"No approvals assigned","Not ready","Out of scope",
"DCF-642","Fail Secure for Boundary Protection Devices","Montage Marketing Group has implemented fail secure mechanisms to maintain the system in a secure state when a boundary protection device fails.","Does the organization prevent the system from entering a non-secure state during the operational failure of boundary protection devices?","Implement mechanisms to create a fail secure condition in the event of boundary protection devices failing.",,,"No approvals assigned","Not ready","Out of scope",
"DCF-151","FIM (File Integrity Monitoring) Software in Place","Montage Marketing Group ensures that file integrity monitoring (FIM) software is in place to detect whether operating system and application software files have been tampered with.","Does the organization utilize a File Integrity Monitor (FIM) or similar change-detection technology on critical assets to generate alerts for unauthorized modifications?",,,,"No approvals assigned","Not ready","Out of scope",
"DCF-433","FIM on Logs","Montage Marketing Group uses file-integrity monitoring or change-detection software on logs to ensure that existing log data cannot be changed without generating alerts (although new data being added should not cause an alert).","Is file-integrity monitoring or change-detection software used on logs to ensure that existing log data cannot be changed without generating alerts (although new data being added should not cause an alert)?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SI-07-00"
"DCF-52","Hard-Disk Encryption","Montage Marketing Group ensures that company-issued laptops have encrypted hard-disks.","Does the organization ensure its employees' hard-disks are encrypted?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-19-05"
"DCF-599","High Risk Area System Configuration","Montage Marketing Group has an established process to secure system and system components during travel to areas that pose significant risk.","Are systems or system components configured appropriately when in high risk areas?","1. Define and Identify high risk areas
2. Identify systems or components approved for travel to high risk areas 
3. Define the configuration of the systems during travel
4. Define post-travel controls applied to systems
5. Maintain records of travel activity and implementation of post-travel controls","Jon Brown",,"No approvals assigned","Not ready","In scope","CM-02-07"
"DCF-319","High Risk Vulnerabilities","Montage Marketing Group's coding techniques address all “high risk” vulnerabilities identified in the vulnerability identification process.","Do coding techniques address all “high risk” vulnerabilities identified in the vulnerability identification process (as defined in PCI DSS Requirement 6.1)?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","RA-05-02"
"DCF-613","Identity Evidence Validation and Verification Methods","Montage Marketing Group has defined methods to validate and verify identity evidence consistent with system risks, roles, and privileges associated with the user account.","Does the organization verify identity evidence ?","Define methods of validation and verification of identity evidence.","Jon Brown",,"No approvals assigned","Not ready","In scope","IA-12-03"
"DCF-91","IDS/IPS Implemented","An intrusion detection system (IDS)/intrusion prevention system (IPS) or equivalent is in place to detect real-time suspicious or anomalous network traffic that may be indicative of threat actor activity and is configured to alert personnel when a potential intrusion is detected.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-06-01"
"DCF-318","Improper Error Handling","Montage Marketing Group's coding techniques address improper error handling.","Do coding techniques address improper error handling?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SI-11-00"
"DCF-335","Inactive User Accounts Removed","Montage Marketing Group removes/disables inactive user accounts within 90 days.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-02-03, AC-02-05"
"DCF-62","Inactivity and Browser Exit Logout","Montage Marketing Group's systems automatically log users out after a predefined period of inactivity and/or closure of the system or internet browser.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-02-05, AC-11-00, AC-12-00, IA-11-00, SC-10-00"
"DCF-218","Inbound Traffic Restricted Between Untrusted and Trusted Networks ","Inbound traffic from untrusted networks is restricted to communications with system components that are authorized to provide publicly accessible services, protocols, and ports, and to stateful responses to communications initiated by system components in a trusted network. All other traffic is denied.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","SC-07-00, CM-07-00"
"DCF-131","Incident Report Template and Process","Montage Marketing Group has incident management procedures that include detailed instructions on how to escalate a suspected incident to the Information Security Team and, when necessary, to the Privacy or Legal department. Montage Marketing Group has a standard incident report template that must be completed for each incident.","Does the organization have procedures to escalate a suspected incident to the InfoSec team?",,"Jon Brown",,"No approvals assigned","Ready","In scope","IR-01-00, IR-05-00, IR-06-00, IR-07-00, IR-08-00, IR-04-01, IR-06-01, IR-07-01"
"DCF-30","Incident Response Lessons Learned Documented","Montage Marketing Group documents a post-mortem review for identified incidents that includes root-cause analysis and lessons learned as applicable per company policies and procedures. The incident response plan is modified and evolved according to lessons learned and to incorporate industry developments.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","IR-04-00, IR-07-00, IR-08-00, CP-04-00, CP-04-01, IR-04-01, IR-07-01"
"DCF-511","Incident Response Management","Montage Marketing Group's IRP addresses roles, responsibilities, and communication and contact strategies in the event of a compromise including notification of the payment brands, at a minimum.","Roles, responsibilities, and communication and contact strategies in the event of a compromise including notification of the payment brands, at a minimum?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","IR-01-00, IR-05-00, IR-06-00, IR-06-01, IR-06-03"
"DCF-159","Incident Response Plan","Montage Marketing Group has a documented incident response plan that outlines roles, responsibilities, and procedures to document, analyze, classify, and respond to incidents.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","IR-01-00, IR-06-00, IR-07-00, IR-08-00, CP-02-01, CP-03-00, CP-04-00, CP-04-01, IR-06-03, IR-07-01, PE-06-00, SI-07-07"
"DCF-518","Incident Response Plan Review and Update","Montage Marketing Group has a process to modify and evolve the incident response plan according to lessons learned and to incorporate industry developments.","Is a process developed and in place to modify and evolve the incident response plan according to lessons learned and to incorporate industry developments?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","CP-02-01"
"DCF-29","Incident Response Team","Montage Marketing Group has identified an incident response team that quantifies and monitors incidents involving security, availability, processing integrity, and confidentiality at the company.","Does the organization formally assign personnel or roles with responsibility for responding to sensitive information spills?",,"Jon Brown",,"No approvals assigned","Ready","In scope","IR-01-00, IR-02-00, IR-02-03, IR-03-00, IR-04-00, IR-07-00, IR-08-00, CP-04-00, CP-04-01, CP-07-00, CP-07-01, CP-07-02, CP-07-03, IR-03-02, IR-06-03, IR-07-01, SI-05-00, PM-14-00"
"DCF-165","Independent Assessment","Montage Marketing Group has an independent assessment (e.g., internal audit) process to ensure that its information security program is effectively implemented, maintained, and in conformance.","Does the organization conduct regular internal audits to ensure continuous conformance with the requirements, and effective implementation and maintenance?","1. Establish planned intervals for the assessment of the information security program
2. Define the criteria and scope of each assessment
3. Evaluate the effectiveness of the information security program’s implementation and maintenance
4. Ensure impartiality and objectivity of the process
5. Communicate assessment results to relevant management
6. Maintain documentation of assessments and their results","Jon Brown",,"No approvals assigned","Not ready","In scope","AU-02-00, AU-06-03"
"DCF-13","Information Security Policy","Montage Marketing Group has defined and documented an Information Security Policy and other topic-specific policies as needed to support the functioning of internal control.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-01-00, AC-02-00, AC-02-02, AC-21-00, IR-07-00, IR-08-00, CP-03-00, CP-10-00, CP-10-02, IR-07-01, PS-08-00, PL-01-00, PL-02-00, PL-10-00, PL-11-00, SA-08-00"
"DCF-590","Information Sharing","Montage Marketing Group uses automated tools to facilitate information sharing decisions by authorized users.","Does the organization employ automated systems to enable authorized users to make decisions regarding information sharing?","1. Identify the criteria/circumstances for information sharing.
2. Identify users who are authorized to make information sharing decisions.
3. Identify the tools/mechanisms to facilitate the decision-making process for information sharing.","Jon Brown",,"No approvals assigned","Not ready","In scope","AC-21-00"
"DCF-250","Insecure Remote Login Commands Prevented","Montage Marketing Group ensures system services and parameter files are configured to prevent the use of Telnet and other insecure remote login commands.","Are system services and parameter files configured to prevent the use of Telnet and other insecure remote login commands?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-17-01, AC-18-01"
"DCF-210","Insecure Services, Protocols, and Ports Documentation and Control","Montage Marketing Group identifies all services, protocols, and ports in use considered to be in use. Montage Marketing Group identifies, documents and implements security features for each insecure service, protocol, or port in use, such that the risk is mitigated.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","CM-07-00, CM-07-01"
"DCF-650","Integrity Checks","Montage Marketing Group performs integrity checks of systems software, firmware, and system information during  transitional states.","Does the organization perform integrity checks on software, firmware, and information systems?","1. Define the software and firmware that would require an integrity check.
2. Define transitional states or security-relevant events that require integrity checks.
3. Establish the frequency of performing an integrity check.","Jon Brown",,"No approvals assigned","Not ready","In scope","SI-07-01"
"DCF-651","Integrity Violation Automated Response","Montage Marketing Group has mechanisms in place to automatically shut down, restart, or implement controls on systems when integrity violations are discovered.","Does the organization have procedures that automatically respond to integrity violations when discovered?","1. Establish criteria for system shut down, restart, or control implementation when integrity violations are discovered.
2. Implement mechanisms to execute violation responses automatically.
3. Define the controls to be implemented, when applicable.",,,"No approvals assigned","Not ready","Out of scope",
"DCF-467","Internal Penetration Testing Requirements","Montage Marketing Group conducts internal penetration tests at least once every 12 months and after any significant infrastructure or application upgrade or change per the company's defined methodology. Testing is performed by a qualified internal resource or qualified external third-party and organizational independence of the tester is maintained.",,,,,"No approvals assigned","Not ready","Out of scope",
"DCF-452","Inventory of Authorized Wireless Access Points","Montage Marketing Group maintains an inventory of authorized wireless access points including a documented business justification.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-17-03"
"DCF-2","Least-Privileged Policy for Sensitive Data Access","Montage Marketing Group authorizes access to information resources, including data and the systems that store or process sensitive data, based on the principle of least privilege.","Does the organization utilize the concept of least privilege, allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions?","Authorize access to information resources based on least-privilege policy.","Jon Brown",,"No approvals assigned","Ready","In scope","AC-06-00, AC-06-07, CM-12-00"
"DCF-640","Limit External Connections","Montage Marketing Group ensures that the number of external network connections to the system are limited.","Does the organization limit the number of external network connections?","Define and enforce the number of external network connections that can be connected to the system.","Jon Brown",,"No approvals assigned","Ready","In scope","SC-07-03"
"DCF-592","Limit Personally Identifiable Information in Audit Records","Montage Marketing Group limits use of PII in audit records.","Is PII use limited in audit records?","1. Limit use of PII in audit records
2. Define elements to be limited in the Data Protection Policy","Jon Brown",,"No approvals assigned","Not ready","In scope","AU-03-03"
"DCF-429","Limited Access to Audit Trails","Access to audit log files and associated configurations is limited to those with a job-related need as authorized by management.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-09-00, AU-09-04"
"DCF-584","Limited Concurrent Sessions","Montage Marketing Group defines the maximum number of concurrent sessions for system accounts.","Is the maximum number of concurrent sessions defined?","Define the maximum number of concurrent sessions for system accounts or account types.",,,"No approvals assigned","Ready","Out of scope",
"DCF-340","Lockout Duration","Montage Marketing Group has configured account lockout duration following a set number of invalid authentication attempts to a minimum of 30 minutes or until the identity of the user is confirmed (for example, by a system administrator).",,,"Jon Brown",,"No approvals assigned","Ready","In scope","IR-01-00"
"DCF-80","Log Management System","Montage Marketing Group uses logging software that sends alerts to appropriate personnel. Corrective actions are performed, as necessary, in a timely manner.","Does the organization use logging software to alert appropriate personnel of anomalous or suspicious activity?","1. Enable AWS CloudTrail and CloudWatch, Azure Monitor (Log Analytics), Google StackDriver, or analogous software.
2. Enable rulesets to alert appropriate personnel of anomalous or suspicious activity.
3. Perform corrective actions when alerted.","Jon Brown",,"No approvals assigned","Not ready","In scope","AU-01-00, AU-02-00, AC-02-04, AC-17-01, AU-04-00, AU-05-00, AU-06-00, AU-07-00, AU-12-00, SI-04-00, SI-04-02, SI-04-04, SI-04-05"
"DCF-87","Logging/Monitoring","Montage Marketing Group has infrastructure logging configured to monitor web traffic and suspicious activity. When anomalous traffic activity is identified, alerts are automatically created, sent to appropriate personnel and resolved, as necessary.","Does the organization configure infrastructure logging to monitor web traffic and suspicious activity?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-01-00, AU-02-00"
"DCF-79","Logs Centrally Stored","Montage Marketing Group uses a system that collects and stores server logs in a central location. The system can be queried in an ad hoc fashion by authorized users.","Does the organization collect and store server logs in a central location that can be queried by authorized personnel?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-02-00, AC-17-01, AU-03-01, AU-06-01, AU-06-03, AU-07-00, SI-04-00, SI-04-02, PL-09-00"
